step_1,step_2,step_3,step_4,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7,predict_8,predict_9,predict_10,predict_11,predict_12,predict_13,predict_14,predict_15,predict_16
W_Wijzigen contractgegevens_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_FINALIZED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,O_DECLINED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,O_CREATED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,O_CANCELLED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,O_ACCEPTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_SUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_REGISTERED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_APPROVED_COMPLETE,O_ACCEPTED_COMPLETE,A_ACTIVATED_COMPLETE,A_REGISTERED_COMPLETE,W_Valideren aanvraag_COMPLETE,<EOS>,<EOS>,W_Valideren aanvraag_COMPLETE,<EOS>,<EOS>,W_Beoordelen fraude_COMPLETE,W_Beoordelen fraude_START,W_Afhandelen leads_SCHEDULE,W_Beoordelen fraude_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PREACCEPTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START,W_Afhandelen leads_COMPLETE
