step_1,step_2,step_3,step_4,step_5,predict_1
W_Wijzigen contractgegevens_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,<EOS>,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_SCHEDULE,<EOS>,W_Nabellen incomplete dossiers_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Completeren aanvraag_START,<EOS>,W_Completeren aanvraag_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Completeren aanvraag_SCHEDULE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Completeren aanvraag_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Beoordelen fraude_START,<EOS>,W_Beoordelen fraude_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Beoordelen fraude_SCHEDULE,<EOS>,W_Beoordelen fraude_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Beoordelen fraude_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_START,<EOS>,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen offertes_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_SENT_COMPLETE,<EOS>,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_SENT_BACK_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_SELECTED_COMPLETE,<EOS>,O_CREATED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_CREATED_COMPLETE,<EOS>,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_CANCELLED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,O_ACCEPTED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_SUBMITTED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_REGISTERED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_START,<EOS>,O_ACCEPTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen offertes_SCHEDULE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_CANCELLED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_DECLINED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_CREATED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_CANCELLED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_ACCEPTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_SUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_REGISTERED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PREACCEPTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_FINALIZED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_APPROVED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Nabellen offertes_START,<EOS>,W_Beoordelen fraude_START
<SOS>,A_SUBMITTED_COMPLETE,A_ACTIVATED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_ACCEPTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,<SOS>,A_DECLINED_COMPLETE,<EOS>,<EOS>
